School Name	Google Review
Brentwood School	4.6(55)
North haven elementary school	5.0(1)
Foundations for the Future Charter Academy, Southwest Elementary Campus	4.1(14)
FFCA Elementary	4.6(11)
École Edwards Elementary School	4.1(13)
Foundations for the Future Charter Academy, Southeast Elementary Campus	3.7(13)
St. John Henry Newman School	4.2(31)
Foundations for the Future Charter Academy, Northeast Elementary Campus	4.1(18)
Sacred Heart School	4.7(21)
Calgary Kids Montessori Academy Ltd.	4.7(14)
Taradale School	4.0(31)
Queen Elizabeth School	4.8(11)
River Valley School	4.5(42)
Highwood School	4.8(17)
Marlborough School	3.7(15)
Westmount Charter Elementary School	4.0(23)
Elbow Valley Elementary School	4.7(6)
St. Wilfrid Elementary School	3.7(13)
Beddington Heights School	3.6(22)
St. Matthew School	3.2(37)
Saint Catherine Elementary School	4.3(10)
St. Vincent de Paul Elementary & Junior High	4.2(22)
Belvedere Parkway School	4.1(23)
Varsity Acres School	4.7(3)
The Hamptons School	4.7(18)
Woodlands School	3.8(12)
Woodbine School	4.5(13)
Vista Heights School	3.5(12)
Briar Hill School	2.8(6)
Acadia School	4.9(22)
John W. Costello School	4.1(13)
Saint Bede Elementary School	3.4(16)
Mother Mary Greene School	4.1(21)
Rundle College	4.0(73)
Elbow Park School	3.3(9)
Cranston School	3.8(15)
Royal Oak School	3.5(16)
St. Mary's School	4.4(15)
Hawkwood School	3.6(20)
Somerset School	4.4(21)
Mount View School	3.6(9)
Radisson Park School	4.5(21)
Earl Grey School	4.7(17)
Saint Joseph Elementary Junior High School	3.3(35)
Cambrian Heights School	3.0(21)
Terrace Road School	3.8(14)
Edgemont School	3.7(25)
Prince of Wales School	3.7(12)
Sunalta School	4.8(14)
Wildwood School	4.5(17)
Valley View School	4.0(33)
Glamorgan School	2.5(76)
Westgate School	4.3(21)
Glendale School	3.3(13)
Crossfield Elementary School	4.1(7)
Collingwood School	4.4(19)
King George School	4.4(19)
Annie Foote School	4.0(45)
St. Augustine School	2.4(48)
Strathcona-Tweedsmuir School	4.0(41)
Evergreen School	3.7(23)
Rosedale School	3.5(17)
Glenmeadows School	4.3(13)
Grant MacEwan School	4.0(30)
St. Cyril School	3.5(13)
Olympic Heights School	4.6(24)
Battalion Park School	4.6(17)
Stanley Jones School	3.2(40)
Lake Bonavista School	3.2(9)
Nellie McClung School	3.4(33)
Patrick Airlie School	4.0(12)
Hidden Valley School	2.7(13)
Ian Bazalgette School	4.0(87)
Ethel M. Johnson School	3.6(24)
