School Name,Latitude,Longitude,Address,Phone,Programs,Data Programs,school_id,Data Grades,URL,School Name,Email,"Grade, Enrollment, Admin Info",Programs Info,Tabbed Panel Content,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Total Enrollment,Notices,School Text,Grades Offered,Ward,Area,Total Enrollment (Admin),School Principal,Trustee,Education Director
Children's Village School,51.063506,-114.0404621,"1210 Russet Rd NE Calgary, AB T2E 5L5",403-777-6114,,",",1,",0,1,2,3,4,5,6,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=1,Children's Village School,ChildrensVillage@cbe.ab.ca,GRADESK-6WARD9AREACentral ATOTAL ENROLLMENT (As of Sept. 30)79SCHOOL PRINCIPALKristi JardineTRUSTEESusan VukadinovicEDUCATION DIRECTORChris Radu,PROGRAMS," | Kindergarten6Grade 16Grade 212Grade 313Grade 417Grade 512Grade 613 | Children's Village School is a unique setting CBE school, where CBE staff work in collaboration with staff from Hull Services to support student learning. Staff at Children's Village School are committed to and focused on making our school a safe and caring, trauma sensitive environment that meets the needs of every student. We do this through building strong, healthy, caring and supportive relationships.Our children and their families have many strengths and talents. By nurturing and supporting these attributes, we ensure long term positive growth. Parents and staff work together to jointly meet the educational and treatment needs of their children.The learning environment provides opportunities for students, parents, and staff to experience acceptance, support, and wellness. Learning and therapeutic intervention plans are personalized to meet the complex needs of the students.Our multi-disciplinary team includes uniquely skilled teachers, child care counselors, psychologists, a home/school counseling liaison, a certified behavior analyst, speech/language therapists, an occupational therapist, and a physical therapist",6,6,12,13,17,12,13,0,0,0,0,0,0,79,,"Children's Village School is a unique setting CBE school, where CBE staff work in collaboration with staff from Hull Services to support student learning. Staff at Children's Village School are committed to and focused on making our school a safe and caring, trauma sensitive environment that meets the needs of every student. We do this through building strong, healthy, caring and supportive relationships.Our children and their families have many strengths and talents. By nurturing and supporting these attributes, we ensure long term positive growth. Parents and staff work together to jointly meet the educational and treatment needs of their children.The learning environment provides opportunities for students, parents, and staff to experience acceptance, support, and wellness. Learning and therapeutic intervention plans are personalized to meet the complex needs of the students.Our multi-disciplinary team includes uniquely skilled teachers, child care counselors, psychologists, a home/school counseling liaison, a certified behavior analyst, speech/language therapists, an occupational therapist, and a physical therapist",K-6,9,Central A,79,Kristi Jardine,Susan Vukadinovic,Chris Radu
William Roper Hull School,50.9477583,-114.1122699,"2266 Woodpark Ave SW Calgary, AB T2W 2Z8",403-251-8022,,",",2,",1,2,3,4,5,6,7,8,9,10,11,12,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=2,William Roper Hull School,WilliamRoperHull@cbe.ab.ca,GRADES1-12WARD13AREACentral ATOTAL ENROLLMENT (As of Sept. 30)97SCHOOL PRINCIPALRhonda WilliamsTRUSTEENancy CloseEDUCATION DIRECTORChris Radu,PROGRAMS," | Grade 12Grade 21Grade 33Grade 42Grade 56Grade 66Grade 711Grade 812Grade 916Grade 1014Grade 1114Grade 1210 | William Roper Hull School is operated as a partnership between the CBE and Hull Services. We offer highly specialized and individualized programs that focus on the development of academic and vocational skills for students with behavioural and emotional difficulties.Students are primarily referred to us through Hull Services and the CBE's Special Education Services Department.  The program offers a therapeutic school setting that meets the academic and treatment needs of individual students, ranging from Grades 1-12.Our primary focus is to establish a healthy sense of belonging for all of our students, offer them opportunities to achieve mastery, support their independence, and allow them to give back to their community. In 2010, we became an active part of the Trauma Sensitive School Initiative with the CBE. We have adopted a trauma informed framework: Attachment, Self-regulation and Competency (ARC) (Blaustein & Kinniburgh, 2010). This has helped guide our practice in the classrooms, supporting those who have experienced trauma in their lives. Most recently, we have joined Hull Agency in the partnership with the ChildTrauma Academy.",0,210,1,3,2,6,6,11,12,16,0,0,0,397,,"William Roper Hull School is operated as a partnership between the CBE and Hull Services. We offer highly specialized and individualized programs that focus on the development of academic and vocational skills for students with behavioural and emotional difficulties.Students are primarily referred to us through Hull Services and the CBE's Special Education Services Department.  The program offers a therapeutic school setting that meets the academic and treatment needs of individual students, ranging from Grades 1-12.Our primary focus is to establish a healthy sense of belonging for all of our students, offer them opportunities to achieve mastery, support their independence, and allow them to give back to their community. In 2010, we became an active part of the Trauma Sensitive School Initiative with the CBE. We have adopted a trauma informed framework: Attachment, Self-regulation and Competency (ARC) (Blaustein & Kinniburgh, 2010). This has helped guide our practice in the classrooms, supporting those who have experienced trauma in their lives. Most recently, we have joined Hull Agency in the partnership with the ChildTrauma Academy.",1-12,13,Central A,97,Rhonda Williams,Nancy Close,Chris Radu
Wood's Homes - William Taylor Learning Centre,51.0653139,-114.1426941,"805 37 St NW Calgary, AB T2N 4N8",403-270-1751,,",",3,",1,2,3,4,5,6,7,8,9,10,11,12,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=3,Wood's Homes - William Taylor Learning Centre,woodshomes@cbe.ab.ca,GRADES1-12WARD7AREACentral ATOTAL ENROLLMENT (As of Sept. 30)71SCHOOL PRINCIPALJennifer Edmondson-NeilyTRUSTEEPatricia BolgerEDUCATION DIRECTORChris Radu,PROGRAMS," | Grade 10Grade 20Grade 30Grade 42Grade 51Grade 61Grade 711Grade 810Grade 911Grade 1016Grade 1111Grade 128 | Provides educational and therapeutic opportunities for students who have severe behavioral/emotional difficulties. The goal of WTLC is to support all students in maximizing their academic success through personalized, authentic learning opportunities which incorporates curricular modifications and instructional accommodations. WTLC is focused on identifying and creating the conditions for success for students as unique learners and as members of their school and home communities.  WTLC is a trauma sensitive learning environment.  Classroom staff includes one CBE teacher and one Wood's school support counselor. The student to staff ratio is 8:2. Wood's Homes provides additional clinical services including a full-time therapist and a full-time family support worker, while the CBE provides a .6 educational psychologist. Families are also able to access additional therapeutic services offered through Wood's Homes. Hot breakfast is offered to the students. For a nominal fee, hot lunch is also provided. If deemed appropriate, CBE transportation may be provided.",0,28,0,0,2,1,1,11,10,11,0,0,0,191,,"Provides educational and therapeutic opportunities for students who have severe behavioral/emotional difficulties. The goal of WTLC is to support all students in maximizing their academic success through personalized, authentic learning opportunities which incorporates curricular modifications and instructional accommodations. WTLC is focused on identifying and creating the conditions for success for students as unique learners and as members of their school and home communities.  WTLC is a trauma sensitive learning environment.  Classroom staff includes one CBE teacher and one Wood's school support counselor. The student to staff ratio is 8:2. Wood's Homes provides additional clinical services including a full-time therapist and a full-time family support worker, while the CBE provides a .6 educational psychologist. Families are also able to access additional therapeutic services offered through Wood's Homes. Hot breakfast is offered to the students. For a nominal fee, hot lunch is also provided. If deemed appropriate, CBE transportation may be provided.",1-12,7,Central A,71,Jennifer Edmondson-Neily,Patricia Bolger,Chris Radu
Emily Follensbee School,51.0076447,-114.0955871,"5139 14 St SW Calgary, AB T2T 3W5",403-777-6980,,",",4,",0,1,2,3,4,5,6,7,8,9,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=4,Emily Follensbee School,EmilyFollensbee@cbe.ab.ca,GRADESK-9WARD11AREACentral ATOTAL ENROLLMENT (As of Sept. 30)92SCHOOL PRINCIPALJennifer HartTRUSTEENancy CloseEDUCATION DIRECTORChris Radu,PROGRAMS," | Kindergarten2Grade 115Grade 211Grade 310Grade 418Grade 58Grade 610Grade 711Grade 86Grade 91 | - Provides educational programs for students Kindergarten to grade 8 with multiple, complex learning needs.- Ungraded classes utilizing Individual Program Plans for programming.- Has a warm therapy pool and Multi-sensory Rooms- Cliffside- an outdoor learning and recreation area provides additional opportunities for students with physical, sensory and cognitive impairments- Contract music therapy to support student growth.- LPN support for medical/health needs- Has specialized equipment that supports the development of communication, mobility, and daily living skills.- Utilizes support from an educational support team (SSIL) including: physical therapist, occupational therapist, speech/language pathologist, educational consultants for vision and deaf or hard of hearing and psychologist.- Volunteer supports- pool program and classroom program- Resource teacher provides support re: augmentative communication, adapted literacy and technology",2,15,11,10,18,8,10,11,6,1,0,0,0,92,,"- Provides educational programs for students Kindergarten to grade 8 with multiple, complex learning needs.- Ungraded classes utilizing Individual Program Plans for programming.- Has a warm therapy pool and Multi-sensory Rooms- Cliffside- an outdoor learning and recreation area provides additional opportunities for students with physical, sensory and cognitive impairments- Contract music therapy to support student growth.- LPN support for medical/health needs- Has specialized equipment that supports the development of communication, mobility, and daily living skills.- Utilizes support from an educational support team (SSIL) including: physical therapist, occupational therapist, speech/language pathologist, educational consultants for vision and deaf or hard of hearing and psychologist.- Volunteer supports- pool program and classroom program- Resource teacher provides support re: augmentative communication, adapted literacy and technology",K-9,11,Central A,92,Jennifer Hart,Nancy Close,Chris Radu
Christine Meikle School,51.0845399,-114.16055,"3525 50 St NW Calgary, AB T3A 2Y5",403-817-3524,,",",5,",5,6,7,8,9,10,11,12,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=5,Christine Meikle School,christinemeikle@cbe.ab.ca,GRADES5-12WARD1AREACentral ATOTAL ENROLLMENT (As of Sept. 30)124SCHOOL PRINCIPALHilary WrightTRUSTEEEDUCATION DIRECTORChris Radu,PROGRAMS," | Grade 51Grade 61Grade 710Grade 816Grade 922Grade 1026Grade 1119Grade 1229 | - Individualized programming for communication, self-regulation, social interaction, leisure and independent living skills, early academic and vocational skills, and areas of individual interest- Consultation with SSIL Therapy Team (physiotherapy, occupational therapy, speech language pathology)- Access to Pediatric Home Care (LPNs and Home Care Aides) for contracted services- Supported transportation- Fully accessible building (warm water therapy pool, multisensory rooms, hygiene facilities, lifts, egress system, accessible playgrounds, etc.)",0,229,0,0,0,1,1,10,16,22,0,0,0,424,,"- Individualized programming for communication, self-regulation, social interaction, leisure and independent living skills, early academic and vocational skills, and areas of individual interest- Consultation with SSIL Therapy Team (physiotherapy, occupational therapy, speech language pathology)- Access to Pediatric Home Care (LPNs and Home Care Aides) for contracted services- Supported transportation- Fully accessible building (warm water therapy pool, multisensory rooms, hygiene facilities, lifts, egress system, accessible playgrounds, etc.)",5-12,1,Central A,124,Hilary Wright,,Chris Radu
Richmond School,51.03002,-114.1150539,"2701 22 St SW Calgary, AB T2T 5G5",403-777-8380,"Regular (K-6) (Grades: ,0,1,2,3,4,5,6,)",",1,",6,",0,1,2,3,4,5,6,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=6,Richmond School,Richmond@cbe.ab.ca,GRADESK-6WARD8AREA7TOTAL ENROLLMENT (As of Sept. 30)325SCHOOL PRINCIPALMary FullertonTRUSTEESusan VukadinovicEDUCATION DIRECTORDavid Dyck,PROGRAMSRegular,"Nov. 4, 2022 | Notice Regarding School Overflow Designation for Mount Royal SchoolJune 14, 2023 | SSAP Richmond School - Near or Over CapacityJune 1, 2020 | Reminder Notice Regarding Altadore & Richmond School Designations for K-6 Regular Program Students | Kindergarten46Grade 148Grade 245Grade 355Grade 455Grade 541Grade 635 | - Supports teaching and learning curricular material through inquiry-based learning and technology infusion.- A strong community of learners where students and teachers work cooperatively and collaboratively.- School council and a parent volunteer group who support maker spaces, robotics, technology infusion, fine arts programming, and literacy and math development.- Supports the fine arts - teacher specialist in Music.- Supervised CBE lunchroom program with before and after school care.- Provides daily physical education classes and promotes healthy active living through the connection with the system specialists- Welcomes diversity and is proud of the caring way students with special needs are integrated into the regular program - for example, our bridges students!- Swimming lessons, in-line skating, ice skating, field trips, robotics, fine arts residencies, curling, snow shoeing and disk golf.- Special events including music performances, Celebrations of Learning, Grade 6 Farewell, Special Lunches, Volunteer Tea.- Environmental projects that maintain an outdoor classroom (Richmond Heart Circle), recycling, and composting.- School Reading Programs",46,48,45,55,55,41,35,0,0,0,0,0,0,325,"Nov. 4, 2022 | Notice Regarding School Overflow Designation for Mount Royal SchoolJune 14, 2023 | SSAP Richmond School - Near or Over CapacityJune 1, 2020 | Reminder Notice Regarding Altadore & Richmond School Designations for K-6 Regular Program Students | Kindergarten46Grade 148Grade 245Grade 355Grade 455Grade 541Grade 635 | - Supports teaching and learning curricular material through inquiry-based learning and technology infusion.- A strong community of learners where students and teachers work cooperatively and collaboratively.- School council and a parent volunteer group who support maker spaces, robotics, technology infusion, fine arts programming, and literacy and math development.- Supports the fine arts - teacher specialist in Music.- Supervised CBE lunchroom program with before and after school care.- Provides daily physical education classes and promotes healthy active living through the connection with the system specialists- Welcomes diversity and is proud of the caring way students with special needs are integrated into the regular program - for example, our bridges students!- Swimming lessons, in-line skating, ice skating, field trips, robotics, fine arts residencies, curling, snow shoeing and disk golf.- Special events including music performances, Celebrations of Learning, Grade 6 Farewell, Special Lunches, Volunteer Tea.- Environmental projects that maintain an outdoor classroom (Richmond Heart Circle), recycling, and composting.- School Reading Programs",,K-6,8,7,325,Mary Fullerton,Susan Vukadinovic,David Dyck
Alexander Ferguson School,51.0393626,-114.1230385,"1704 26 St SW Calgary, AB T3C 1K5",403-777-8270,"Regular (K-6) (Grades: ,0,1,2,3,4,5,6,)",",1,",7,",0,1,2,3,4,5,6,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=7,Alexander Ferguson School,AlexanderFerguson@cbe.ab.ca,GRADESK-6WARD8AREA7TOTAL ENROLLMENT (As of Sept. 30)234SCHOOL PRINCIPALHelen SharpeTRUSTEESusan VukadinovicEDUCATION DIRECTORGarry Tink,PROGRAMSRegular," | Kindergarten38Grade 138Grade 231Grade 332Grade 436Grade 535Grade 624 | - Music, visual and performing arts, are integrated through the curriculum on a daily basis.- Focus is on Inquiry learning, a generative, question-based approach to involve students in becoming engaged in their own learning.- A small school that fosters a safe, caring welcoming and respectful atmosphere where all children and adults have a strong sense of community. The CBE Holistic Lifelong Learning Framework helps guide behaviour and citizenship. Positive communication between the home and school is a priority.- All classrooms are equipped with Smart Boards. Technology is infused through the use of macbooks, Chromebooks, iPads, and personal electronic devices.- Has an active School Council and Parent Society who collaborate with staff on matters relating to the school.- Is committed to the environment with Solar Panels on the school roof, and participation in conservation initiatives.",38,38,31,32,36,35,24,0,0,0,0,0,0,234,,"- Music, visual and performing arts, are integrated through the curriculum on a daily basis.- Focus is on Inquiry learning, a generative, question-based approach to involve students in becoming engaged in their own learning.- A small school that fosters a safe, caring welcoming and respectful atmosphere where all children and adults have a strong sense of community. The CBE Holistic Lifelong Learning Framework helps guide behaviour and citizenship. Positive communication between the home and school is a priority.- All classrooms are equipped with Smart Boards. Technology is infused through the use of macbooks, Chromebooks, iPads, and personal electronic devices.- Has an active School Council and Parent Society who collaborate with staff on matters relating to the school.- Is committed to the environment with Solar Panels on the school roof, and participation in conservation initiatives.",K-6,8,7,234,Helen Sharpe,Susan Vukadinovic,Garry Tink
Jennie Elliott School,50.9961431,-114.1272588,"3031 Lindsay Dr SW Calgary, AB T3E 6A9",403-777-8350,"Regular (K-6) (Grades: ,0,1,2,3,4,5,6,)",",1,",8,",0,1,2,3,4,5,6,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=8,Jennie Elliott School,JennieElliott@cbe.ab.ca,GRADESK-6WARD11AREA7TOTAL ENROLLMENT (As of Sept. 30)579SCHOOL PRINCIPALLucene TahmazianTRUSTEENancy CloseEDUCATION DIRECTORDavid Dyck,PROGRAMSRegular," | Kindergarten72Grade 197Grade 293Grade 393Grade 481Grade 572Grade 671 | - High academic standards and a strong commitment to school and community citizenship.- Daily Physical Education- computers in all classrooms and a portable computer lab to support project work in classrooms.- An environmental courtyard which heightens environmental awareness and provides a natural environment for enhancing student learning. Our Environmental Leadership Club is active in supporting waste reduction and recycling.- Fine Arts experiences through the school's Artist in Residence program and live performances.- Extracurricular activities- Learning celebrations and assemblies to showcase student learning and talents.- Student leadership opportunities: PE Leaders,  kindergarten buddies, morning announcers, library assistants etc.- CBE lunchroom program.- Before and after school care program leased in the school- Deaf and Hard of Hearing System classes",72,97,93,93,81,72,71,0,0,0,0,0,0,579,,"- High academic standards and a strong commitment to school and community citizenship.- Daily Physical Education- computers in all classrooms and a portable computer lab to support project work in classrooms.- An environmental courtyard which heightens environmental awareness and provides a natural environment for enhancing student learning. Our Environmental Leadership Club is active in supporting waste reduction and recycling.- Fine Arts experiences through the school's Artist in Residence program and live performances.- Extracurricular activities- Learning celebrations and assemblies to showcase student learning and talents.- Student leadership opportunities: PE Leaders,  kindergarten buddies, morning announcers, library assistants etc.- CBE lunchroom program.- Before and after school care program leased in the school- Deaf and Hard of Hearing System classes",K-6,11,7,579,Lucene Tahmazian,Nancy Close,David Dyck
Killarney School,51.0279005,-114.1340895,"3008 33 St SW Calgary, AB T3E 2T9",403-777-8360,"Montessori (K-6) (Grades: ,0,1,2,3,4,5,6,)",",14,",9,",0,1,2,3,4,5,6,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=9,Killarney School,Killarney@cbe.ab.ca,GRADESK-6WARD8AREA7TOTAL ENROLLMENT (As of Sept. 30)346SCHOOL PRINCIPALLea SherwoodTRUSTEESusan VukadinovicEDUCATION DIRECTORDavid Dyck,PROGRAMSMontessori,"Nov. 8, 2023 | Notice Regarding Montessori Program Boundary Changes for Killarney School and Captain John Palliser SchoolJune 14, 2023 | SSAP Killarney School - Balance K to 9 EnrolmentLearn more about the lottery process for schools at capacity. | Kindergarten56Grade 167Grade 256Grade 346Grade 450Grade 541Grade 630 | MONTESSORI ALTERNATIVE PROGRAM WHICH OFFERS:- A morning and afternoon Montessori Kindergarten program- Grade 1-6 Montessori program- Congregated stop bussing availableKILLARNEY SCHOOL PROGRAM OFFERS:- A rich learning environment that fosters the use of the Montessori Method and materials to promote excellence- A unique, personalized approach to building independent, responsible leaders- Specialized Fine Arts,  daily quality Physical Education and French (Grades 4-6)- Strong parent support with two parent councils (Killarney KPC) and (MAPSS Montessori Alternative Public School Society) who actively host many special family events- CBE operated lunchroom- An emphasis on promoting the whole child through health initiatives (skiing, snowshoeing, orienteering, hiking and other Fun Fit Friday endeavours)OTHERS:- Kidzinc (Before and After School Care operated from 7:00 a.m. until 8:35 a.m. and 3:20 p.m. until 6:00 p.m.)Killarney School continues to promote peaceful citizens who understand connections to our environment. We provide extra support for English Language Learners, developing writers and those students needing Resource support.",56,67,56,46,50,41,30,0,0,0,0,0,0,346,"Nov. 8, 2023 | Notice Regarding Montessori Program Boundary Changes for Killarney School and Captain John Palliser SchoolJune 14, 2023 | SSAP Killarney School - Balance K to 9 EnrolmentLearn more about the lottery process for schools at capacity. | Kindergarten56Grade 167Grade 256Grade 346Grade 450Grade 541Grade 630 | MONTESSORI ALTERNATIVE PROGRAM WHICH OFFERS:- A morning and afternoon Montessori Kindergarten program- Grade 1-6 Montessori program- Congregated stop bussing availableKILLARNEY SCHOOL PROGRAM OFFERS:- A rich learning environment that fosters the use of the Montessori Method and materials to promote excellence- A unique, personalized approach to building independent, responsible leaders- Specialized Fine Arts,  daily quality Physical Education and French (Grades 4-6)- Strong parent support with two parent councils (Killarney KPC) and (MAPSS Montessori Alternative Public School Society) who actively host many special family events- CBE operated lunchroom- An emphasis on promoting the whole child through health initiatives (skiing, snowshoeing, orienteering, hiking and other Fun Fit Friday endeavours)OTHERS:- Kidzinc (Before and After School Care operated from 7:00 a.m. until 8:35 a.m. and 3:20 p.m. until 6:00 p.m.)Killarney School continues to promote peaceful citizens who understand connections to our environment. We provide extra support for English Language Learners, developing writers and those students needing Resource support.",,K-6,8,7,346,Lea Sherwood,Susan Vukadinovic,David Dyck
Dr. Gordon Townsend School,51.0743015,-114.1484519,"28 Oki Drive NW Calgary, AB T3B 6A8",403-955-7004,,",",10,",0,1,2,3,4,5,6,7,8,9,10,11,12,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=10,Dr. Gordon Townsend School,DrGordonTownsend@cbe.ab.ca,GRADESK-12WARD7AREACentral ATOTAL ENROLLMENT (As of Sept. 30)25SCHOOL PRINCIPALJennifer Edmondson-NeilyTRUSTEEPatricia BolgerEDUCATION DIRECTORChris Radu,PROGRAMS," | Kindergarten1Grade 11Grade 21Grade 33Grade 41Grade 52Grade 62Grade 74Grade 85Grade 92Grade 101Grade 111Grade 121 | - The program at this facility is offered by a partnership of the Calgary Board of Education and the Calgary Health Region in a hospital setting based on a multidisciplinary approach. Successful integration into community schools, as soon as possible, is the ultimate goal.--Programs offered include: Rehabilitation and Education, Mental Health, Eating Disorders and Inpatient Educational Support.- Programs and services are provided by a multidisciplinary team that may include: education, nursing, physical therapy, occupational therapy, recreation therapy, speech/language therapy, psychology, social work, psychiatry, and family therapy.- The population of the school changes dramatically over the course of a year. Although approximately 150 students receive programs and services, there are only about 40 students in the school at any one time.",1,21,1,3,1,2,2,4,5,2,0,0,0,55,,"- The program at this facility is offered by a partnership of the Calgary Board of Education and the Calgary Health Region in a hospital setting based on a multidisciplinary approach. Successful integration into community schools, as soon as possible, is the ultimate goal.--Programs offered include: Rehabilitation and Education, Mental Health, Eating Disorders and Inpatient Educational Support.- Programs and services are provided by a multidisciplinary team that may include: education, nursing, physical therapy, occupational therapy, recreation therapy, speech/language therapy, psychology, social work, psychiatry, and family therapy.- The population of the school changes dramatically over the course of a year. Although approximately 150 students receive programs and services, there are only about 40 students in the school at any one time.",K-12,7,Central A,25,Jennifer Edmondson-Neily,Patricia Bolger,Chris Radu
